Category1,Category2,Category3,Category4,Category5,Category6,Category7,Mean_g_per_day,StandardDeviation,Coefficient of Variation,Cost_100g,Calories_kcal_per_100g,Fat_g,Saturates_g,Carbs_g,Sugars_g,Fibre_g,Protein_g,Salt_g,CO2_g_per_100g,Animal Welfare Rating,Rainforest Rating,Water Scarcity Rating,CO2 FU Rating,Group A veg,Group A fruit,Group BC,Group D,Group E,Bread,Confectionary,Texture,Taste,Colour,Healthy
Fruit and fruit products,Fruit used as fruit,Pome fruits,Apples and similar-,Apples,Apples,Apples,24.48545362,32.02301212,1.307838222,0.14,54,0.5,0.0,11.1,0.0,1.3,0.6,0.01,22.192,A,A,A,A,0,1,0,0,0,0,0,Soft,Sweet,Red,healthy
Vegetables and vegetable products,Fruiting vegetables,Solanacea,Aubergines and similar-,Aubergines,Aubergines,Aubergines,0.139128861,2.306307524,16.57677284,0.237,18,0.5,0.0,1.9,0.0,2.0,0.8,0.01,149.206,A,A,B,C,1,0,0,0,0,0,0,Soft,Mild,Purple,healthy
Sugar and similar confectionery and water-based sweet desserts,Confectionery including chocolate,Chocolate and chocolate products,Chocolate and similar,Bitter chocolate,Bitter chocolate,Bitter chocolate,0.131503171,1.169036864,8.889799819,0.065,543,34.0,20.9,47.4,42.9,9.5,7.2,0.01,248.375,A,A,A,A,0,0,0,0,0,0,1,Hard,Bitter,Brown,unhealthy
Meat and meat products,Sausages,Fresh raw sausages,Breakfast-type sausage,Breakfast-type sausage,Breakfast-type sausage,Breakfast-type sausage,12.98896561,20.9976166,1.616573423,0.44,301,21.9,7.3,8.9,0.0,1.0,16.6,1.3,793.192,E,E,A,B,0,0,1,0,0,0,0,Firm,Savory,Brown,unhealthy
Vegetables and vegetable products,Leafy vegetables,Head brassica,Brussels sprouts and similar-,Brussels sprouts,Brussels sprouts,Brussels sprouts,0.317892181,2.424485469,7.626754023,0.7,44,1.3,0.3,3.5,0.0,2.6,2.9,0.05,56.885,A,A,A,A,1,0,0,0,0,0,0,Firm,Earthy,Green,healthy
Grains and grain-based products,Cereals and cereal primary derivatives,Cereal grains (and cereal-like grains),Buckwheat and other pseudo-cereals and similar-,Buckwheat,Buckwheat,Buckwheat,0.030529954,0.557168449,18.24989485,0.5,117,1.5,0.3,21.0,0.0,1.8,3.9,0.1,60.345,A,A,A,A,0,0,0,1,0,0,0,Grainy,Earthy,Brown,healthy
Meat and meat products,Mammals and birds meat,Birds meat,Poultry fresh meat (muscle meat),Chicken fresh meat,Chicken fresh meat,Chicken fresh meat,18.62739523,22.90906226,1.229858602,0.285,225,15.5,4.0,0.5,0.0,0.5,21.1,0.16,451.33,E,E,A,B,0,0,1,0,0,0,0,Firm,Savory,White,healthy
Sugar and similar confectionery and water-based sweet desserts,Confectionery including chocolate,Chocolate and chocolate products,Chocolate/cocoa-based products,Chocolate coated confectionery,Chocolate coated confectionery,Chocolate coated confectionery,5.53719764,9.425866207,1.702280977,0.161,503,25.0,15.0,61.0,53.0,0.0,8.5,0.42,398.375,E,A,A,B,0,0,0,0,0,0,1,Hard,Sweet,Brown,unhealthy
Grains and grain-based products,Pasta doughs and similar products,Pasta and similar products,Pasta-like products,Couscous,Couscous,Couscous,0.44837888,3.362827227,7.499967945,0.21,192,1.0,0.2,37.5,0.0,2.2,7.2,0.01,78.345,A,A,A,A,0,0,0,1,0,0,0,Grainy,Mild,Yellow,healthy
Milk and dairy products,Milk whey and cream,Milk,Cattle milk,Cow milk,Cow milk semi skimmed (half fat),Cow milk semi skimmed (half fat),105.8594095,141.1339497,1.333220641,0.064,50,1.8,1.1,4.8,0.0,0.0,3.6,0.11,180.188,E,E,A,C,0,0,0,0,1,0,0,Liquid,Mild,White,average
