Category1,Category2,Category3,Category4,Category5,Category6,Category7,Mean_g_per_day,StandardDeviation,Coefficient of Variation,Cost_100g,Calories_kcal_per_100g,Fat_g,Saturates_g,Carbs_g,Sugars_g,Fibre_g,Protein_g,Salt_g,CO2_g_per_100g,Animal Welfare Rating,Rainforest Rating,Water Scarcity Rating,CO2 FU Rating,Group A veg,Group A fruit,Group B,Oily Fish,Red Meat,Group C,Group D,Group E,Oil,Bread,Confectionary
Meat and meat products,Mammals and birds meat,Mammals meat,Deer fresh meat,"Deer, red fresh meat","Deer, red fresh meat","Deer, red fresh meat",0.028903904,0.745922349,25.8069758,0.55,129,2.4,0.8,0,0.5,0.5,25.8,0.1,1095.369,E,A,A,D,0,0,1,0,1,0,0,0,0,0,0
Vegetables and vegetable products,Root and tuber vegetables (excluding starchy- and sugar-),Jerusalem artichokes and similar-,Jerusalem artichokes,Jerusalem artichokes,Jerusalem artichokes,Jerusalem artichokes,0.008486943,0.216541823,25.51470164,0.938,41,0.5,0.1,4.1,0.5,3.4,1.9,0.1,79.988,A,A,A,B,1,0,0,0,0,0,0,0,0,0,0
"Fish, seafood, amphibians, reptiles and invertebrates",Fish (meat),Marine fish,"Cods, hakes, haddocks",Hakes,Hakes,Hakes,0.024116743,0.615331514,25.51470164,1.827,116,2.9,0.5,0.5,0.5,0.5,22.1,0.23,388.867,E,A,A,C,0,0,1,0,0,0,0,0,0,0,0
"Legumes, nuts, oilseeds and spices","Nuts, oilseeds and oilfruits",Tree nuts,Brazil nuts and similar-,Brazil nuts,Brazil nuts,Brazil nuts,0.01322463,0.312788741,23.65198398,1.325,696,68.2,17.4,3.1,2.4,6.3,14.3,0.01,281.793,A,A,C,A,0,0,1,0,0,0,0,0,0,0,0
"Fish, seafood, amphibians, reptiles and invertebrates",Fish (meat),Marine fish,"Herrings, sardines, anchovies",Anchovies,Anchovies,Anchovies,0.022798519,0.533375117,23.39516561,2.06,247,17.6,2.7,1.8,0.5,0.5,20,1.72,207.452,E,A,A,B,0,0,1,1,0,0,0,0,0,0,0
"Legumes, nuts, oilseeds and spices","Nuts, oilseeds and oilfruits",Tree nuts,Hazelnuts and similar-,Hazelnuts,Hazelnuts,Hazelnuts,0.002461563,0.055115801,22.39057143,1.4,666,63.5,4.6,6,4,6.9,14.1,0.02,286.034,A,A,D,A,0,0,1,0,0,0,0,0,0,0,0
Animal and vegetable fats and oils and primary derivatives thereof,Animal and vegetable fats/oils,"Vegetable fats and oils, edible",Other plant oils,Palm oil/fat,Palm oil/fat,Palm oil/fat,0.005009272,0.10801326,21.5626665,0.275,884,100,49,9.8,9.8,0,0,0,476.591,A,E,A,A,0,0,0,0,0,0,0,0,1,0,0
Vegetables and vegetable products,Root and tuber vegetables (excluding starchy- and sugar-),Radishes and similar-,Radishes,Radishes,Radishes,Radishes,0.022461494,0.445003546,19.81184116,0.246,14,0.5,0.2,1.3,1.3,0.9,0.7,0.05,31.703,A,A,A,A,1,0,0,0,0,0,0,0,0,0,0
Grains and grain-based products,Cereals and cereal primary derivatives,Cereal and cereal-like flours,Wheat flour,Wheat wholemeal flour,Wheat wholemeal flour,Wheat wholemeal flour,0.110412169,2.113303772,19.14013455,0.1,335,2.2,0.3,58.4,2.1,9.1,15.9,0.01,70.66,A,A,A,A,0,0,0,0,0,0,1,0,0,0,0
Fruit and fruit products,Fruit used as fruit,"Miscellaneous fruits with inedible peel, small",Passionfruits and similar-,Passionfruits,Passionfruits,Passionfruits,0.017642643,0.325264956,18.43629453,0.889,97,0.7,0.1,23,11,10,2.2,0,669.801,A,A,C,E,0,1,0,0,0,0,0,0,0,0,0
Fruit and fruit products,Fruit used as fruit,"Miscellaneous fruits with inedible peel, large",Papayas and similar-,Papayas,Papayas,Papayas,0.079585634,1.464830881,18.40571982,0.19,51,0.6,0.2,9.5,9.5,2.2,0.7,0.04,97.452,A,A,B,C,0,1,0,0,0,0,0,0,0,0,0
Grains and grain-based products,Cereals and cereal primary derivatives,Cereal grains (and cereal-like grains),Buckwheat and other pseudo-cereals and similar-,Buckwheat,Buckwheat,Buckwheat,0.030529954,0.557168449,18.24989485,0.5,117,1.5,0.3,21,0.3,1.8,3.9,0.1,60.345,A,A,A,A,0,0,0,0,0,0,1,0,0,0,0
Vegetables and vegetable products,Stems/stalks eaten as vegetables,Rhubarbs and similar-,Rhubarbs,Rhubarbs,Rhubarbs,Rhubarbs,0.086018738,1.541859419,17.92469247,0.625,8,0.5,0,0.8,0.8,0.5,0.9,0.01,24.721,A,A,A,A,0,1,0,0,0,0,0,0,0,0,0
Fruit and fruit products,Fruit used as fruit,Citrus fruits,Grapefruits and similar-,Grapefruits,Grapefruits,Grapefruits,0.075421043,1.339898729,17.76558203,0.1,34,0.1,0.1,6.8,6.8,1.3,0.8,0.01,72.722,A,A,B,B,0,1,0,0,0,0,0,0,0,0,0
Milk and dairy products,Cheese,Fresh uncured cheese,Mascarpone,Mascarpone,Mascarpone,Mascarpone,0.016366738,0.285411437,17.43850434,0.72,412,42,30.4,4.9,4.6,0.5,3.6,0.13,616.692,E,E,A,B,0,0,0,0,0,0,0,1,0,0,0
Fruit and fruit products,Fruit used as fruit,Citrus fruits,Limes and similar-,Limes,Limes,Limes,0.010999234,0.184002445,16.72866041,0.545,20,0.5,0.1,3.2,3.2,0.5,1,0.01,56.096,A,A,C,B,0,1,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,Fruiting vegetables,Solanacea,Aubergines and similar-,Aubergines,Aubergines,Aubergines,0.139128861,2.306307524,16.57677284,0.237,18,0.5,0,1.9,1.9,2,0.8,0.01,149.206,A,A,B,C,1,0,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,Stems/stalks eaten as vegetables,Asparagus and similar-,Asparagus,Asparagus,Asparagus,Asparagus,0.096836641,1.407354181,14.53328172,0.796,28,0.6,0.1,1.9,1.8,1.7,2.9,0.01,453.8,A,A,E,E,1,0,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,Leafy vegetables,Head brassica,Head cabbages and similar-,Red cabbages,Red cabbages,Red cabbage,0.048946008,0.673020272,13.75025862,0.16,3.5,0.5,0.1,3.5,3.1,2.5,1.1,0.02,29.885,A,A,A,A,1,0,0,0,0,0,0,0,0,0,0
Animal and vegetable fats and oils and primary derivatives thereof,Animal and vegetable fats/oils,"Vegetable fats and oils, edible",Seed oils,"Sunflower seed oil, edible","Sunflower seed oil, edible","Sunflower seed oil, edible",0.036050221,0.470969279,13.06425507,0.22,828,92,10.1,0,0,0,0,0,321.621,A,A,A,A,0,0,0,0,0,0,0,0,1,0,0
Vegetables and vegetable products,Leafy vegetables,Leafy brassica,Kales and similar-,Curly kales,Curly kales,Curly kales,0.091929429,1.158768873,12.60498276,0.5,32,1.3,0.2,1,1,3.1,3.4,0.1,29.351,A,A,A,A,1,0,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,Herbs and edible flowers,Aromatic herbs,Parsley and similar-,Parsley,Parsley,Parsley,0.01257248,0.150190507,11.94597276,1,51,0.8,0.1,6.3,0.9,3.3,3,0.14,202.62,A,A,A,C,0,0,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,Herbs and edible flowers,Aromatic herbs,Rosemary and similar-,Rosemary,Rosemary,Rosemary,0.001911955,0.022634009,11.83815183,2.6,149,5.9,0,20.7,0.5,0,3.3,0,56.503,A,A,A,B,0,0,0,0,0,0,0,0,0,0,0
Fruit and fruit products,Fruit used as fruit,"Miscellaneous fruits with inedible peel, large",Avocados and similar-,Avocados,Avocados,Avocados,0.115872276,1.328212504,11.46272901,0.415,197,19.5,4.1,1.9,0.5,3.4,1.9,0.15,105.173,A,A,D,A,0,1,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,Herbs and edible flowers,Aromatic herbs,Thyme and similar-,Oregano,Oregano,Oregano,0.001137967,0.012686389,11.14829358,2,86,2,0.4,9.7,0.5,10.2,2.2,0,205.62,A,A,A,C,0,0,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,Stems/stalks eaten as vegetables,Celeries and similar-,Celeries,Celeries,Celeries,Celeries,0.145294799,1.534773667,10.56317001,0.36,10,0.2,0.1,0.9,0.9,1.5,0.5,0.19,44.628,A,A,A,B,1,0,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,Fruiting vegetables,Cucurbits fruiting vegetables,Cucurbits with inedible peel,Watermelons and similar-,Watermelons,Watermelons,0.856398513,8.902082489,10.39478975,0.3,30,0.5,0,6.8,6.8,0.1,0.5,0.01,97.452,A,A,B,C,0,1,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,"Sprouts, shoots and similar",Common bean sprouts,Common bean sprouts,Common bean sprouts,Common bean sprouts,Common bean sprouts,0.077696105,0.762358015,9.812049312,0.223,47,2.8,0.2,2.1,2.1,1.8,2.5,0.03,47.531,A,A,A,A,0,0,0,0,0,0,0,0,0,0,0
Fruit and fruit products,Fruit used as fruit,Stone fruits,Cherries and similar-,Cherries and similar-,Cherries and similar-,Cherries and similar-,0.150897614,1.415072844,9.377701904,1.25,52,0.1,0.1,11.5,11.5,0.9,0.9,0.01,58.498,A,A,C,B,0,1,0,0,0,0,0,0,0,0,0
