CMDLINE /home/laurie2905/anaconda3/envs/masterEnv/bin/python src/models/envs/env.py
MEM 0.011719 1718115827.6291
MEM 28.437500 1718115827.7295
MEM 42.230469 1718115827.8299
MEM 64.289062 1718115827.9302
MEM 92.679688 1718115828.0306
MEM 93.453125 1718115828.1309
MEM 136.257812 1718115828.2312
MEM 157.472656 1718115828.3316
MEM 202.804688 1718115828.4320
MEM 337.937500 1718115828.5324
MEM 363.000000 1718115828.6328
MEM 425.187500 1718115828.7332
MEM 442.312500 1718115828.8335
MEM 450.644531 1718115828.9339
MEM 457.347656 1718115829.0342
MEM 463.277344 1718115829.1346
MEM 473.207031 1718115829.2349
MEM 478.511719 1718115829.3353
MEM 565.398438 1718115829.4357
MEM 707.179688 1718115829.5361
MEM 724.242188 1718115829.6364
MEM 729.656250 1718115829.7368
MEM 740.613281 1718115829.8372
MEM 754.203125 1718115829.9375
MEM 767.410156 1718115830.0379
MEM 777.832031 1718115830.1383
MEM 798.390625 1718115830.2387
MEM 819.449219 1718115830.3390
MEM 837.738281 1718115830.4394
MEM 846.082031 1718115830.5399
MEM 851.238281 1718115830.6402
MEM 863.125000 1718115830.7406
MEM 867.953125 1718115830.8410
MEM 873.437500 1718115830.9413
MEM 873.437500 1718115831.0417
MEM 873.929688 1718115831.1420
MEM 874.183594 1718115831.2423
MEM 876.089844 1718115831.3427
MEM 876.347656 1718115831.4432
MEM 876.347656 1718115831.5435
MEM 876.605469 1718115831.6439
MEM 876.605469 1718115831.7443
MEM 876.605469 1718115831.8447
MEM 876.605469 1718115831.9450
MEM 876.605469 1718115832.0454
MEM 876.863281 1718115832.1457
MEM 876.863281 1718115832.2460
MEM 876.863281 1718115832.3464
MEM 876.863281 1718115832.4467
MEM 876.863281 1718115832.5472
MEM 877.121094 1718115832.6476
MEM 877.121094 1718115832.7481
MEM 877.121094 1718115832.8484
MEM 877.121094 1718115832.9487
MEM 877.378906 1718115833.0491
MEM 877.378906 1718115833.1494
MEM 877.378906 1718115833.2498
MEM 877.378906 1718115833.3501
MEM 877.636719 1718115833.4505
MEM 877.636719 1718115833.5509
MEM 877.636719 1718115833.6513
MEM 877.636719 1718115833.7517
MEM 877.894531 1718115833.8521
MEM 877.894531 1718115833.9524
MEM 877.894531 1718115834.0529
MEM 877.894531 1718115834.1532
MEM 878.152344 1718115834.2536
MEM 878.152344 1718115834.3543
MEM 878.152344 1718115834.4547
MEM 878.152344 1718115834.5550
MEM 878.410156 1718115834.6554
MEM 878.410156 1718115834.7557
MEM 878.410156 1718115834.8561
MEM 878.410156 1718115834.9564
MEM 878.667969 1718115835.0567
MEM 878.667969 1718115835.1571
MEM 878.667969 1718115835.2575
MEM 878.667969 1718115835.3578
MEM 878.925781 1718115835.4582
MEM 878.925781 1718115835.5586
