Iteration,Split,SMOTE,Model,Metric,Score,Rank
0,0.8,True,MLP Classifier,accuracy,0.9607142857142857,1.0
0,0.8,False,MLP Classifier,accuracy,0.9547619047619048,2.0
0,0.8,False,Decision Tree,accuracy,0.9476190476190476,3.0
0,0.7,False,MLP Classifier,accuracy,0.9470355731225296,4.0
0,0.5,True,MLP Classifier,accuracy,0.9460116731517509,5.0
0,0.8,True,Random Forest,accuracy,0.9452380952380952,6.0
0,0.8,True,Decision Tree,accuracy,0.9452380952380952,6.0
0,0.8,False,Random Forest,accuracy,0.9452380952380952,6.0
0,0.5,False,MLP Classifier,accuracy,0.9440661478599222,9.0
0,0.5,False,Decision Tree,accuracy,0.9430933852140078,10.0
0,0.7,True,Support Vector Machine,accuracy,0.941501976284585,11.0
0,0.4,True,MLP Classifier,accuracy,0.9403651115618661,12.0
0,0.6,False,MLP Classifier,accuracy,0.94,13.0
0,0.7,True,MLP Classifier,accuracy,0.9399209486166008,14.0
0,0.7,True,Random Forest,accuracy,0.9391304347826087,15.0
0,0.7,False,Random Forest,accuracy,0.9391304347826087,15.0
0,0.8,True,Support Vector Machine,accuracy,0.9380952380952381,17.0
0,0.7,True,Decision Tree,accuracy,0.9375494071146245,18.0
0,0.7,False,Decision Tree,accuracy,0.9375494071146245,18.0
0,0.5,True,Random Forest,accuracy,0.9343385214007782,20.0
0,0.8,False,Support Vector Machine,accuracy,0.9333333333333333,21.0
0,0.4,False,MLP Classifier,accuracy,0.932657200811359,22.0
0,0.6,False,Decision Tree,accuracy,0.9321212121212121,23.0
0,0.7,False,Support Vector Machine,accuracy,0.9320158102766798,24.0
0,0.6,True,MLP Classifier,accuracy,0.9309090909090909,25.0
0,0.5,False,Random Forest,accuracy,0.9304474708171206,26.0
0,0.6,True,Random Forest,accuracy,0.9296969696969697,27.0
0,0.6,False,Random Forest,accuracy,0.9296969696969697,27.0
0,0.6,True,Decision Tree,accuracy,0.9278787878787879,29.0
0,0.5,True,Decision Tree,accuracy,0.9265564202334631,30.0
0,0.4,False,Decision Tree,accuracy,0.9212981744421906,31.0
0,0.6,True,Support Vector Machine,accuracy,0.9193939393939394,32.0
0,0.5,True,Support Vector Machine,accuracy,0.916828793774319,33.0
0,0.4,False,Random Forest,accuracy,0.9135902636916836,34.0
0,0.4,True,Random Forest,accuracy,0.913184584178499,35.0
0,0.4,True,Decision Tree,accuracy,0.9123732251521298,36.0
0,0.3,False,MLP Classifier,accuracy,0.9117236566643405,37.0
0,0.6,False,Support Vector Machine,accuracy,0.9072727272727272,38.0
0,0.3,True,MLP Classifier,accuracy,0.9071877180739707,39.0
0,0.5,False,Support Vector Machine,accuracy,0.9041828793774319,40.0
0,0.4,True,Support Vector Machine,accuracy,0.896551724137931,41.0
0,0.2,False,Decision Tree,accuracy,0.8943511450381679,42.0
0,0.2,True,MLP Classifier,accuracy,0.8937404580152671,43.0
0,0.2,False,MLP Classifier,accuracy,0.8928244274809161,44.0
0,0.4,False,Support Vector Machine,accuracy,0.8924949290060852,45.0
0,0.3,False,Random Forest,accuracy,0.8918353105373342,46.0
0,0.3,True,Random Forest,accuracy,0.8904396371249128,47.0
0,0.3,False,Decision Tree,accuracy,0.8866015352407537,48.0
0,0.2,True,Decision Tree,accuracy,0.8851908396946565,49.0
0,0.8,False,Gradient Boosting,accuracy,0.8833333333333333,50.0
0,0.5,True,Gradient Boosting,accuracy,0.8813229571984436,51.0
0,0.8,True,Gradient Boosting,accuracy,0.8797619047619047,52.0
0,0.2,False,Random Forest,accuracy,0.8781679389312977,53.0
0,0.2,True,Random Forest,accuracy,0.877557251908397,54.0
0,0.7,False,Gradient Boosting,accuracy,0.8758893280632412,55.0
0,0.6,False,Gradient Boosting,accuracy,0.8751515151515151,56.0
0,0.3,True,Decision Tree,accuracy,0.8740404745289603,57.0
0,0.6,True,Gradient Boosting,accuracy,0.8733333333333333,58.0
0,0.7,False,XGBoost,accuracy,0.8727272727272727,59.0
0,0.5,False,Gradient Boosting,accuracy,0.8720817120622568,60.0
0,0.5,False,XGBoost,accuracy,0.8715953307392996,61.0
0,0.4,False,Gradient Boosting,accuracy,0.8709939148073023,62.0
0,0.8,True,K-Nearest Neighbors,accuracy,0.8702380952380953,63.0
0,0.7,True,K-Nearest Neighbors,accuracy,0.8687747035573122,64.0
0,0.7,True,Gradient Boosting,accuracy,0.867193675889328,65.0
0,0.3,True,Support Vector Machine,accuracy,0.866364270760642,66.0
0,0.6,True,K-Nearest Neighbors,accuracy,0.8642424242424243,67.0
0,0.8,False,XGBoost,accuracy,0.8630952380952381,68.0
0,0.7,False,K-Nearest Neighbors,accuracy,0.8616600790513834,69.0
0,0.4,True,Gradient Boosting,accuracy,0.8584178498985802,70.0
0,0.3,False,Support Vector Machine,accuracy,0.8572923935799023,71.0
0,0.2,True,Gradient Boosting,accuracy,0.8549618320610687,72.0
0,0.6,False,K-Nearest Neighbors,accuracy,0.8545454545454545,73.0
0,0.6,False,XGBoost,accuracy,0.8521212121212122,74.0
0,0.8,False,K-Nearest Neighbors,accuracy,0.8476190476190476,75.0
0,0.8,True,XGBoost,accuracy,0.8464285714285714,76.0
