Iteration,Split,SMOTE,Model,Metric,Score,Rank
0,0.8,True,MLP Classifier,accuracy,0.9547619047619048,1.0
0,0.8,False,MLP Classifier,accuracy,0.9547619047619048,1.0
0,0.7,False,MLP Classifier,accuracy,0.9494071146245059,3.0
0,0.5,True,MLP Classifier,accuracy,0.9489299610894941,4.0
0,0.7,True,MLP Classifier,accuracy,0.9462450592885375,5.0
0,0.8,False,Decision Tree,accuracy,0.9452380952380952,6.0
0,0.7,False,Decision Tree,accuracy,0.9446640316205533,7.0
0,0.8,True,Decision Tree,accuracy,0.944047619047619,8.0
0,0.7,True,Decision Tree,accuracy,0.9422924901185771,9.0
0,0.5,False,MLP Classifier,accuracy,0.9421206225680934,10.0
0,0.6,False,MLP Classifier,accuracy,0.9418181818181818,11.0
0,0.8,False,Random Forest,accuracy,0.9416666666666667,12.0
0,0.6,True,MLP Classifier,accuracy,0.9381818181818182,13.0
0,0.8,True,Support Vector Machine,accuracy,0.9380952380952381,14.0
0,0.7,True,Random Forest,accuracy,0.9375494071146245,15.0
0,0.8,True,Random Forest,accuracy,0.9369047619047619,16.0
0,0.7,False,Random Forest,accuracy,0.9367588932806324,17.0
0,0.6,False,Decision Tree,accuracy,0.9363636363636364,18.0
0,0.4,False,MLP Classifier,accuracy,0.9354969574036511,19.0
0,0.4,True,MLP Classifier,accuracy,0.9334685598377281,20.0
0,0.6,True,Decision Tree,accuracy,0.9327272727272727,21.0
0,0.8,False,Support Vector Machine,accuracy,0.930952380952381,22.0
0,0.6,True,Random Forest,accuracy,0.9303030303030303,23.0
0,0.6,False,Random Forest,accuracy,0.9290909090909091,24.0
0,0.5,True,Random Forest,accuracy,0.9265564202334631,25.0
0,0.5,True,Decision Tree,accuracy,0.9241245136186771,26.0
0,0.7,True,Support Vector Machine,accuracy,0.9225296442687747,27.0
0,0.5,False,Random Forest,accuracy,0.921692607003891,28.0
0,0.7,False,Support Vector Machine,accuracy,0.9209486166007905,29.0
0,0.5,False,Decision Tree,accuracy,0.9202334630350194,30.0
0,0.3,True,MLP Classifier,accuracy,0.9190509420795534,31.0
0,0.3,False,MLP Classifier,accuracy,0.9190509420795534,31.0
0,0.6,True,Support Vector Machine,accuracy,0.9181818181818182,33.0
0,0.4,False,Random Forest,accuracy,0.9168356997971603,34.0
0,0.5,True,Support Vector Machine,accuracy,0.9163424124513618,35.0
0,0.4,True,Decision Tree,accuracy,0.9152129817444219,36.0
0,0.6,False,Support Vector Machine,accuracy,0.9145454545454546,37.0
0,0.4,True,Random Forest,accuracy,0.9099391480730223,38.0
0,0.5,False,Support Vector Machine,accuracy,0.9095330739299611,39.0
0,0.4,False,Decision Tree,accuracy,0.9079107505070994,40.0
0,0.3,False,Random Forest,accuracy,0.9050942079553385,41.0
0,0.3,False,Decision Tree,accuracy,0.9030006978367062,42.0
0,0.3,True,Random Forest,accuracy,0.9005582693649686,43.0
0,0.3,True,Decision Tree,accuracy,0.8984647592463364,44.0
0,0.7,False,Gradient Boosting,accuracy,0.8869565217391304,45.0
0,0.2,False,Random Forest,accuracy,0.8858015267175573,46.0
