,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_clip_obs,params_ent_coef,params_gae_lambda,params_gamma,params_initialization_strategy,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_max_ingredients,params_n_steps,params_net_arch_depth,params_net_arch_width,params_norm_reward,params_normalize_advantage,params_ortho_init,params_rms_prop_eps,params_sde_sample_freq,params_use_rms_prop,params_use_sde,params_vf_coef,state
0,0,,2024-06-29 17:22:35.268829,2024-06-29 17:22:47.369092,0 days 00:00:12.100263,leaky_relu,100.0,0.04427740448821554,0.8,0.9639923685146876,perfect,0.0021314754552138435,constant,2.0,6,10.0,3.0,256.0,False,True,False,0.09139730262341357,60.0,True,True,0.5530757657692436,FAIL
1,1,,2024-06-29 17:26:52.040366,2024-06-29 17:26:57.290954,0 days 00:00:05.250588,,,,,,probabilistic,,,,8,,,,,,,,,,,,FAIL
2,2,,2024-06-29 17:30:58.456984,2024-06-29 17:34:21.312479,0 days 00:03:22.855495,relu,10.0,2.1479986840116536e-05,0.99,0.9315537133354442,probabilistic,1.3332454852191948e-05,linear,0.3,6,100.0,1.0,512.0,True,True,False,0.00169869522187607,86.0,False,True,0.6260067030389312,FAIL
3,3,114.6338634,2024-06-29 17:35:25.117696,2024-06-29 20:50:30.259535,0 days 03:15:05.141839,elu,50.0,0.00015714856393364733,0.92,0.9171037753854044,perfect,0.0011295624440546442,linear,0.9,8,50.0,1.0,16.0,True,True,True,0.007348267594708528,74.0,False,False,0.9139568835283367,COMPLETE
4,4,165.071044,2024-06-29 17:35:25.122746,2024-06-29 22:25:52.255967,0 days 04:50:27.133221,leaky_relu,10.0,0.0007006554453176656,0.98,0.9170155194615327,perfect,1.8243955763301413e-05,linear,0.7,6,5.0,1.0,64.0,True,False,False,6.990918054267701e-05,38.0,False,True,0.6252742027899203,COMPLETE
5,5,148.330569,2024-06-29 17:35:25.140832,2024-06-29 21:08:28.278109,0 days 03:33:03.137277,leaky_relu,100.0,1.1678404692666027e-08,0.99,0.9164513016932211,zero,0.20368910467111329,linear,0.9,8,200.0,1.0,8.0,True,True,False,0.007357876589166011,56.0,False,True,0.7706436339348637,COMPLETE
6,6,5.7,2024-06-29 20:50:30.315990,2024-06-29 23:47:44.201466,0 days 02:57:13.885476,tanh,100.0,1.4779884698203951e-05,0.99,0.9067929492070746,zero,0.026060878720960214,linear,0.9,8,10.0,3.0,256.0,False,False,False,0.0010666665972896155,53.0,False,True,0.1819753596837823,COMPLETE
7,7,186.7781304,2024-06-29 21:08:28.329111,2024-06-29 23:43:12.051568,0 days 02:34:43.722457,leaky_relu,5.0,2.183958870242607e-08,1.0,0.9106273748464156,zero,8.097351563887353e-05,linear,2.0,6,5.0,1.0,32.0,True,False,False,0.00046232794967340866,80.0,True,True,0.5500033474912425,COMPLETE
8,8,,2024-06-29 22:25:52.309151,2024-06-29 22:26:03.724144,0 days 00:00:11.414993,,,,,,probabilistic,,,,8,,,,,,,,,,,,FAIL
9,9,10.7,2024-07-01 07:41:50.265872,2024-07-01 08:00:52.267779,0 days 00:19:02.001907,tanh,5.0,1.4049730435351543e-07,0.92,0.9043270107642105,,1.542603710062169e-05,constant,1.0,6,50.0,3.0,512.0,False,True,True,0.00025511276091739327,11.0,True,True,0.7711080987957022,COMPLETE
