Number,Name,WeightGrams,ClassificationName,Code
1,Talg nöt,100,A Gruppindelning EuroFIR,A0810
1,Talg nöt,100,B Artklassificering,B1161
1,Talg nöt,100,C Del av växt/djur,C0190
1,Talg nöt,100,E Fysisk form,E0119
1,Talg nöt,100,F Värmebehandling,F0003
1,Talg nöt,100,G Tillagning,G0003
1,Talg nöt,100,H Industriell process,H0001
1,Talg nöt,100,J Konserveringsmetod,J0131
1,Talg nöt,100,K Förpackningsmedium,K0003
1,Talg nöt,100,M Förpackningstyp,M0001
1,Talg nöt,100,N Förpackningsmaterial,N0001
1,Talg nöt,100,P Etikettinfo,P0026
1,Talg nöt,100,R Land/område,R0376
2,Späck gris,100,A Gruppindelning EuroFIR,A0810
2,Späck gris,100,B Artklassificering,B1136
2,Späck gris,100,C Del av växt/djur,C0103
2,Späck gris,100,E Fysisk form,E0119
2,Späck gris,100,F Värmebehandling,F0003
2,Späck gris,100,G Tillagning,G0003
2,Späck gris,100,H Industriell process,H0001
2,Späck gris,100,J Konserveringsmetod,J0131
2,Späck gris,100,K Förpackningsmedium,K0003
2,Späck gris,100,M Förpackningstyp,M0001
2,Späck gris,100,N Förpackningsmaterial,N0001
2,Späck gris,100,P Etikettinfo,P0026
2,Späck gris,100,R Land/område,R0001
3,Ister gris,100,A Gruppindelning EuroFIR,A0810
3,Ister gris,100,B Artklassificering,B1136
3,Ister gris,100,C Del av växt/djur,C0190
3,Ister gris,100,E Fysisk form,E0119
3,Ister gris,100,F Värmebehandling,F0003
3,Ister gris,100,G Tillagning,G0003
3,Ister gris,100,H Industriell process,H0001
3,Ister gris,100,J Konserveringsmetod,J0131
3,Ister gris,100,K Förpackningsmedium,K0003
3,Ister gris,100,M Förpackningstyp,M0001
3,Ister gris,100,N Förpackningsmaterial,N0001
3,Ister gris,100,P Etikettinfo,P0026
3,Ister gris,100,R Land/område,R0001
4,Kokosfett,100,A Gruppindelning EuroFIR,A0806
4,Kokosfett,100,B Artklassificering,B1536
4,Kokosfett,100,C Del av växt/djur,C0190
4,Kokosfett,100,E Fysisk form,E0119
4,Kokosfett,100,F Värmebehandling,F0003
4,Kokosfett,100,G Tillagning,G0003
4,Kokosfett,100,H Industriell process,H0001
4,Kokosfett,100,J Konserveringsmetod,J0131
4,Kokosfett,100,K Förpackningsmedium,K0003
4,Kokosfett,100,M Förpackningstyp,M0190
4,Kokosfett,100,N Förpackningsmaterial,
4,Kokosfett,100,P Etikettinfo,P0026
4,Kokosfett,100,R Land/område,R0001
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,A Gruppindelning EuroFIR,A0807
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,B Artklassificering,B1201
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,C Del av växt/djur,C0123
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,E Fysisk form,E0119
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,F Värmebehandling,F0014
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,G Tillagning,G0003
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,H Industriell process,H0107
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,H Industriell process,H0148
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,H Industriell process,H0173
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,H Industriell process,H0197
